Abbreviation,Full_Name,Canonical_Key
genist,Genista Tinctoria,genista tinctoria
gent-c,Gentiana Cruciata,gentiana cruciata
gent-l,Gentiana Lutea,gentiana lutea
ger,Geranium Maculatum,geranium maculatum
get,Gettisburg Water,gettisburg water
gins,Ginseng,ginseng
gland,Glanderine,glanderine
glon,Glonoin,glonoin
gnaph,Gnaphalium,gnaphalium
goss,Gossypium Herbaceum,gossypium herbaceum
gran,Granatum Punica,granatum punica
graph,Graphites,graphites
grat,Gratiola Officinalis,gratiola officinalis
grin,Grindelia Robusta,grindelia robusta
gua,Guaco,guaco
guai,Guaiacum,guaiacum
guano,Guano Australis,guano australis
guar,Guarana,guarana
guare,Guarea,guarea
gymn,Gymnocladus,gymnocladus
ham,Hamamelis Virginica,hamamelis virginica
hecla,Hecla Lava,hecla lava
hedeo,Hedeoma Pulegioides,hedeoma pulegioides
hell,Helleborus Niger,helleborus niger
helod,Heloderma,heloderma
helon,Helonias Dioica,helonias dioica
hep,Hepar Sulphuris Calcareum,hepar sulfuris calcareum
hipp,Hippomanes,hippomanes
hippoz,Hippozænium,hippozaenium
hom,Homarus,homarus
hura,Hura Braziliensis,hura braziliensis
hydr,Hydrastis Canadensis,hydrastis canadensis
hydr-ac,Hydrocyanicum Acidum,hydrocyanicum acidum
hydrang,Hydrangea Arborescens,hydrangea arborescens
hydrc,Hydrocotyle Asiatica,hydrocotyle asiatica
hyos,Hyoscyamus Niger,hyoscyamus niger
hyper,Hypericum Perforatum,hypericum perforatum
iber,Iberis Amara,iberis amara
ictod,Ictodes Fœtida,ictodes foetida
ign,Ignatia Amara,ignatia amara
ill,Illicium Anisatum,illicium anisatum
ind,Indium Metallicum,indium metallicum
indg,Indigo,indigo
ing,Ingluvin,ingluvin
inul,Inula Helenium,inula helenium
iod,Iodium,iodium
iodof,Iodoformum,iodoformum
ip,Ipecacuanha,ipecacuanha
ipom,Ipomia Purpurea,ipomia purpurea
ir-fl,Iris Florentina,iris florentina
ir-g,Iris Germanica,iris germanica
iris,Iris Versicolor,iris versicolor
jab,Jaborandi,jaborandi
jac,Jacaranda Gualandai,jacaranda gualandai
jac-c,Jacaranda Caroba,jacaranda caroba
jal,Jalapa,jalapa
jatr,Jatropha Curcas,jatropha curcas
jug-c,Juglans Cinerea,juglans cinerea
jug-r,Juglans Regia,juglans regia
junc,Juncus Effusus,juncus effusus
juni,Juniperus Virginiana,juniperus virginiana
kali-a,Kali Aceticum,kali aceticum
kali-ar,Kali Arsenicosum,kali arsenicosum
kali-bi,Kali Bichromicum,kali bichromicum
kali-br,Kali Bromatum,kali bromatum
kali-c,Kali Carbonicum,kali carbonicum
kali-chl,Kali Chloricum,kali chloricum
kali-cy,Kali Cyanatum,kali cyanatum
kali-fer,Kali Ferrocyanicum,kali ferrocyanicum
kali-i,Kali Iodatum,kali iodatum
kali-m,Kali Muriaticum,kali muriaticum
kali-ma,Kali Manganicum,kali manganicum
kali-n,Kali Nitricum,kali nitricum
kali-ox,Kali Oxalicum,kali oxalicum
kali-p,Kali Phosphoricum,kali phosphoricum
kali-s,Kali Sulphuricum,kali sulfuricum
kalm,Kalmia Latifolia,kalmia latifolia
kaol,Kaolin,kaolin
kino,Kino,kino
kiss,Kissingen,kissingen
kreos,Kreosotum,kreosotum
lac-c,Lac Caninum,lac caninum
lac-d,Lac Defloratum,lac defloratum
lac-f,Lac Felinum,lac felinum
lach,Lachesis,lachesis
lachn,Lachnanthes Tinctoria,lachnanthes tinctoria
lact,Lactuca Virosa,lactuca virosa
lact-ac,Lactic Acid,lacticum acidum
lam,Lamium Album,lamium album
lap-a,Lapis Albus,lapis albus
lappa-a,Lappa Arctium,lappa arctium
lappa-m,Lappa Major,lappa major
lat-m,Latrodectus Mactans,latrodectus mactans
lath,Lathyrus Sativus,lathyrus sativus
laur,Laurocerasus,laurocerasus
lec,Lecithin,lecithin
led,Ledum Palustre,ledum palustre
lem-m,Lemna Minor,lemna minor
lepi,Lepidium Bonariense,lepidium bonariense
lept,Leptandra Virginica,leptandra virginica
lil-t,Lilium Tigrinum,lilium tigrinum
linu-c,Linum Cathar,linum cathar
lith,Lithium Carbonicum,lithium carbonicum
lith-m,Lithium Muriaticum,lithium muriaticum
lob,Lobelia Inflata,lobelia inflata
lob-c,Lobelia Cardinalis,lobelia cardinalis
lob-s,Lobelia Syphilitica,lobelia syphilitica
lup,Lupulus,lupulus
lyc,Lycopodium Clavatum,lycopodium clavatum
lycpr,Lycopersicum,lycopersicum
lycps,Lycopus Virginicus,lycopus virginicus
lyss,Lyssin (Hydrophobinum),lyssin
mag-arct,Magnetis Polus Arcticus,magnetis polus arcticus
mag-aust,Magnetis Polus Australis,magnetis polus australis
mag-c,Magnesia Carbonica,magnesia carbonica
mag-m,Magnesia Muriatica,magnesia muriatica
mag-p,Magnesia Phosphorica,magnesia phosphorica
mag-p-a,Magnetis Poli. Ambo,magnetis poli ambo
mag-s,Magnesia Sulphurica,magnesia sulfurica
maland,Malandrinum,malandrinum
malar,Malaria Officinalis,malaria officinalis
manc,Mancinella (Hippomanes),mancinella
mang,Manganum,manganum
mang-m,Manganum Muriaticum,manganum muriaticum
med,Medorrhinum,medorrhinum
meli,Melilotus Alba,melilotus alba
menis,Menispermum,menispermum
ment,Mentha Piperita,mentha piperita
meny,Menyanthes,menyanthes
meph,Mephitis,mephitis
merc,Mercurius Vivus,mercurius vivus
merc-ac,Mercurius Aceticus,mercurius aceticus
merc-c,Mercurius Corrosivus,mercurius corrosivus
merc-cy,Mercurius Cyanatus,mercurius cyanatus
merc-d,Mercurius Dulcis,mercurius dulcis
merc-i-f,Mercurius Iodatus Flavus,mercurius iodatus flavus
merc-i-r,Mercurius Iodatus Ruber,mercurius iodatus ruber
merc-n,Mercurius Nitrosus,mercurius nitrosus
merc-p-r,Mercurius Præcipitatus Ruber,mercurius praecipitatus ruber
merc-sul,Mercurius Sulphuricus,mercurius sulfuricus
merl,Mercurialis,mercurialis
mez,Mezereum,mezereum
mill,Millefolium,millefolium
mit,Mitchella Repens,mitchella repens
morph,Morphinum,morphinum
mosch,Moschus,moschus
mur-ac,Muriaticum Acidum,muriaticum acidum
murx,Murex,murex
mygal,Mygale Lasiodora,mygale lasiodora
myos,Myosotis,myosotis
myric,Myrica Cerifera,myrica cerifera
myris,Myristica Sebifera,myristica sebifera
myrt,Myrtus Communis,myrtus communis
naja,Naja Tripudia,naja tripudia
naph,Naphthalin,naphthalin
narcot,Narcotinum,narcotinum
nat-a,Natrum Arsenicatum,natrum arsenicatum
nat-ac,Natrum Aceticum,natrum aceticum
nat-c,Natrum Carbonicum,natrum carbonicum
nat-h,Natrum Hypochlorosum,natrum hypochlorosum
nat-m,Natrum Muriaticum,natrum muriaticum
nat-n,Natrum Nitricum,natrum nitricum
nat-p,Natrum Phosphoricum,natrum phosphoricum
nat-s,Natrum Sulphuricum,natrum sulfuricum
nicc,Niccolum,niccolum
nicc-s,Niccolum Sulph,niccolum sulph
nit-ac,Nitricum Acidum,nitricum acidum
nit-m-ac,Nitro Muriatic Acid,nitro muriatic acid
nit-s-d,Nitri Spiritus Dulcis,nitri spiritus dulcis
nitro-o,Nitrogenium Oxygenatum,nitrogenium oxygenatum
nuph,Nuphar Luteum,nuphar luteum
nux-j,Nux Juglans,nux juglans
nux-m,Nux Moschata,nux moschata
nux-v,Nux Vomica,nux vomica
nym,Nymphæa Odorata,nymphaea odorata
