Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
bar-i,61,2,5,STOMACH(36); ABDOMEN(20); EYE(2); EXTERNAL THROAT(2); THROAT(1),"PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, sore, clothing agg. / stitching","ERUCTATIONS / ameliorate | PAIN, drawing up the limbs amel. / after | PAIN, stool, after, amel. / Hypochondria",,"[g2|EYE] INFLAMMATION, afternoon, 4 p.m. / tubercular | [g2|EXTERNAL THROAT] INDURATION of glands / like knotted cords | [g2|STOMACH] PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness)"
bar-m,409,2,20,HEAD(51); STOMACH(47); MIND(42); EAR(32); ABDOMEN(32); MOUTH(28),"AGGLUTINATED | ANXIETY, flatus, from (agg.) / amel. | ANXIETY, flatus, from (agg.) / future, about | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | EXERTION of vision agg. (See Looking) | PAIN, bending head, to one side (agg.) / up the hair | PAIN, clothing about the neck agg. / after | PAIN, morning (agg.) / morning | PAIN, morning (agg.) / rising, on | PAIN, paroxysmal pains / pressure, external, agg. | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, sore, bruised, occiput, motion, on (agg.) / Forehead | PAIN, sore, bruised, occiput, motion, on (agg.) / Stitching | PAIN, sore, clothing agg. / stitching | PAIN, temples, stooping, from (agg.) / Boring, digging, screwing","ANXIETY, flatus, from (agg.) / amel. | HEAT, flushes, water, cold, after, amel. / head | HEAT, flushes, water, cold, after, amel. / over chest | PAIN, afternoon, 3 p.m. / cold drinks amel. | PAIN, pears, after eating / up in bed amel. | PAIN, rising, from sitting, amel. / stooping, from | PAIN, rising, from sitting, amel. / vomiting | PAIN, rising, from sitting, amel. / walking, while (See Motion, Stepping) | PAIN, shooting, temples, pressure amel. / Sore bruised, sensitive to pressure | PAIN, stool, after, amel. / Hypochondria","ANGER, irascibility (See Irritability and Quarrelsome) | ANSWERS, abruptly, shortly, curtly / confusedly as though thinking of something else | ANXIETY | ANXIETY / evening | ANXIETY, flatus, from (agg.) / amel. | ANXIETY, flatus, from (agg.) / future, about | CHILDISH behavior (See Foolish) | COMPANY aversion to | CONCENTRATION active / difficult | CONCENTRATION active / studying, reading, etc., while | CONFUSION of mind (See Concentration) | COWARDICE | DEATH, desires (See Loathing of Life) / presentiment of | DELUSIONS, body adherent to woollen sack, night, while half awake / changed, thinks everything (See Strange) | DELUSIONS, stabbed, that he had, a person who passed him on the street / familiar things seem","[g2|MIND] ANSWERS, abruptly, shortly, curtly / confusedly as though thinking of something else | [g2|MIND] ANXIETY, flatus, from (agg.) / amel. | [g2|MIND] DELUSIONS, stabbed, that he had, a person who passed him on the street / strange, everything is | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending | [g2|MIND] IMBECILITY | [g2|MIND] INSANITY, madness / erotic | [g2|MIND] STRANGE things, impulse to do / everything seems (See Delusions) | [g2|HEAD] DRAWN backward (See Falling) / forwards | [g2|HEAD] ERUPTION, crusts, scabs, bloody / offensive | [g2|EYE] INFLAMMATION, afternoon, 4 p.m. / scrofulous | [g2|EYE] REDNESS | [g2|EAR] DISCHARGES | [g2|EAR] DISCHARGES / copious | [g2|EAR] DISCHARGES, offensive, cadaverous smelling / rotten cheese, like | [g2|EAR] PAIN, afternoon, 3 p.m. / cold drinks amel. | [g2|NOSE] SNEEZING, dinner, during / sleep, during | [g2|FACE] ERUPTIONS, bleeding when scratched / nose | [g2|FACE] INDURATIONS / submaxillary gland | [g2|FACE] INFLAMMATION, bone of / right | [g2|FACE] INFLAMMATION, bone of / submaxillary gland"
bart,2,2,2,EYE(1); URETHRA(1),,,,"[g2|EYE] PAIN, evening, on reading and writing / coition, after | [g2|URETHRA] PAIN, stitching, drawing, when not urinating / during a bath"
becoming,1,1,1,EYE(1),"INFLAMMATION, afternoon, 4 p.m. / washing agg.",,,
bed,3,1,3,MIND(1); HEAD(1); STOMACH(1),"PAIN, stunning, stupefying, cold agg. / evening",,"STARTING, startled / downward motion, from",
before,13,1,7,MIND(3); HEAD(2); STOMACH(2); ABDOMEN(2); RECTUM(2); FACE(1),"CONSTRICTION, contraction, closure, etc. / standing agg.","PAIN / amel. | PAIN, air, open, amel. / quiet amel. | PAIN, doubling up (See Bending) / left amel. | PAIN, pressing, thinking of it / amel.","LOATHING, general / evening | NYMPHOMANIA | RESTLESSNESS, nervousness / tremulous",
bell,2879,2,22,MIND(654); HEAD(541); FACE(210); ABDOMEN(195); STOMACH(177); EYE(164),"ADMONITION agg. | AGGLUTINATED | AGGLUTINATED / morning | AGGLUTINATED / night | ANXIETY, evening, bed, in (agg.) / air, in open | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / during | ANXIETY, flatus, from (agg.) / during (See Dreams) | ANXIETY, flatus, from (agg.) / headache, with | ANXIETY, flatus, from (agg.) / in open air | ANXIETY, flatus, from (agg.) / shuddering, with | ANXIETY, flatus, from (agg.) / stooping, when | ANXIETY, flatus, from (agg.) / waking, on | ANXIETY, flatus, from (agg.) / walking, while | CHOKING, clothing agg. / clothing agg.","AIR, open, in / amel. | CONFUSION of mind (See Concentration) / amel. | DELIRIUM / amel. after | DELIRIUM / eating amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Occiput | HEAT, cold water, amel. / after | HEAT, cold water, amel. / diarrhœa, during | HEAT, cold water, amel. / during | HEAT, cold water, amel. / eating, after | HEAT, cold water, amel. / extremities, with | HEAT, cold water, amel. / feet, with | HEAT, cold water, amel. / hands, with | HEAT, cold water, amel. / menses, before | ITCHING, rubbing amel. / cheeks","ABSENT-MINDED (See Forgetful) | ABSORBED, buried in thought | ABUSIVE | ADMONITION agg. | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANGER, irascibility (See Irritability and Quarrelsome) / cough, before | ANGER, irascibility (See Irritability and Quarrelsome) / from the | ANGER, irascibility (See Irritability and Quarrelsome) / silent grief | ANGER, irascibility (See Irritability and Quarrelsome) / violent | ANGER, irascibility (See Irritability and Quarrelsome) / with fright | ANGUISH | ANGUISH / during | ANGUISH / walking in open air","[g2|MIND] ADMONITION agg. | [g2|MIND] ANGUISH | [g2|MIND] ANGUISH / during | [g2|MIND] ANSWERS, abruptly, shortly, curtly / incoherently | [g2|MIND] ANSWERS, abruptly, shortly, curtly / incorrectly | [g2|MIND] ANSWERS, abruptly, shortly, curtly / irrelevantly | [g2|MIND] ANTICS, plays | [g2|MIND] ANXIETY | [g2|MIND] ANXIETY, flatus, from (agg.) / shuddering, with | [g2|MIND] ANXIETY, flatus, from (agg.) / stooping, when | [g2|MIND] BARKING | [g2|MIND] BATTLES, talks about | [g2|MIND] BELLOWING | [g2|MIND] BITING | [g2|MIND] BITING / night | [g2|MIND] CHEERFUL, daytime / mania, with | [g2|MIND] CHEERFUL, daytime / sleepiness | [g2|MIND] COMPANY aversion to / friends, of intimate | [g2|MIND] COMPLAINING (See Lamenting) / sleep, in | [g2|MIND] CONFUSION of mind (See Concentration)"
benz,12,2,7,MIND(3); STOMACH(3); RECTUM(2); EYE(1); FACE(1); STOOL(1),,,"CENSORIOUS, critical | DELUSIONS, fire, every noise is a cry of fire, she thinks, and she trembles / visions, of white, outspread, coming toward face in the darkness | WEEPING, tearful mood, etc.","[g2|MIND] DELUSIONS, fire, every noise is a cry of fire, she thinks, and she trembles / visions, of white, outspread, coming toward face in the darkness | [g2|STOMACH] DESIRES, alcoholic drinks, menses, before / cider | [g2|URETHRA] PULSATION"
benz-,6,1,6,EYE(1); NOSE(1); FACE(1); STOMACH(1); BLADDER(1); URINE(1),,,,
benz-ac,296,2,20,HEAD(45); URINE(35); MOUTH(30); MIND(22); NOSE(18); FACE(16),"ANXIETY, flatus, from (agg.) / sitting, while | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTIPATION, alternate days, agg. / insufficient, incomplete, unsatisfactory stools | DELUSIONS, travelling, of, through worlds / confused, agg., swallowing or walking in open air | GAGGING (See Nausea) | LYING, while (agg.) / sinking down thro' or with the bed | PAIN, clothing about the neck agg. / excitement of the emotions, after | PAIN, evening, on reading and writing / open air agg. | PAIN, gnawing in gums / swallowing agg. | PAIN, morning (agg.) / morning | PAIN, morning (agg.) / waking, on | PAIN, pressing, motion, on (agg.) / sitting, while | PAIN, pressing, umbilicus, region of, afternoon / clothing agg. | PAIN, sore, bruised, occiput, motion, on (agg.) / Sides | PAIN, temples, stooping, from (agg.) / Vertex","HEAT, cold water, amel. / Vertex | ITCHING, rubbing amel. / chin | PAIN / amel. | PAIN, listening to reading and talking / amel. | PAIN, occiput, bending head backward, amel. / emotions, from | PAIN, pressing, vertex, binding head up amel. / spine, to, no pain | PAIN, pressure, cold hand amel. / rheumatic | PAIN, rising, from sitting, amel. / sneezing | PAIN, rising, from sitting, amel. / uncovering body, from | PAIN, shooting, temples, pressure amel. / Sore bruised, sensitive to pressure | PAIN, temples, alternating with heat of face / amel. | PAIN, weather, warm, begins with the (agg.) / amel.","ANXIETY | ANXIETY, flatus, from (agg.) / sitting, while | CARRIED, desires to be | CONFUSION of mind (See Concentration) | DELUSIONS, travelling, of, through worlds / confused, agg., swallowing or walking in open air | DELUSIONS, travelling, of, through worlds / voices, hears | DWELLS on past disagreeable occurrences | EXCITEMENT, excitable | FEAR, dawn, of the return of / hurry, following | FORGETFUL, mental exertion, from / words, of, while speaking | FRIGHTENED easily (See Starting) | HURRY | HYSTERIA | IRRITABILITY (See Anger) / children, in | LOATHING, general","[g2|MIND] ANXIETY, flatus, from (agg.) / sitting, while | [g2|MIND] DELUSIONS, travelling, of, through worlds / confused, agg., swallowing or walking in open air | [g2|MIND] FEAR, dawn, of the return of / hurry, following | [g2|MIND] MISTAKES in calculating / words | [g2|HEAD] PAIN, rising, from sitting, amel. / uncovering body, from | [g2|HEAD] PAIN, occiput, bending head backward, amel. / emotions, from | [g2|HEAD] PAIN, pressing, vertex, binding head up amel. / spine, to, no pain | [g2|EYE] MOVEMENT, eyeballs, constant, rolling, drink, at sight of / movements, up and down | [g2|EYE] PAIN, evening, on reading and writing / by candlelight | [g2|EYE] PAIN, turning sideways / in open air | [g2|EAR] NOISES, guns, sound of / synchronous with pulse | [g2|EAR] PUFFING in ears from pulsation of temporal arteries | [g2|NOSE] CORYZA, daytime / cold, on becoming | [g2|NOSE] DISCOLORATION, black (See Sooty) / corners | [g2|NOSE] ITCHING, inside, left, then right / septum | [g2|NOSE] ODORS, imaginary and real, acid / cabbage, of | [g2|NOSE] ODORS, imaginary and real, acid / dust, of | [g2|FACE] DISCOLORATION, bluish, mouth, about the / spots | [g2|FACE] TENSION of skin / one-sided | [g2|MOUTH] BITING sensation / lower lip"
benz-n,13,2,5,EYE(9); VISION(1); FACE(1); MOUTH(1); STOMACH(1),,,,"[g2|EYE] MOVEMENT, eyeballs, constant / closed lids, under"
berb,958,2,21,HEAD(141); ABDOMEN(84); MOUTH(66); RECTUM(62); EYE(55); FACE(55),"AGGLUTINATED / morning | ANXIETY, evening, bed, in (agg.) / bed, in | ANXIETY, flatus, from (agg.) / evening | ANXIETY, flatus, from (agg.) / from a seat, on | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / sleep, before | ANXIETY, flatus, from (agg.) / standing, while | ANXIETY, flatus, from (agg.) / stool, before | CONFUSION, thinking of it agg. / waking, on | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Forehead | CONSTRICTION, morning (agg.) / Occiput | CONSTRICTION, morning (agg.) / Temples","CONSTRICTION, morning (agg.) / amel. | ERUCTATIONS / ameliorate | HEAT, cold water, amel. / Temples | HEAT, cold water, amel. / after | HEAT, cold water, amel. / cold cheeks, with | HEAT, cold water, amel. / eating, after | HEAT, cold water, amel. / exertion, from | HEAT, cold water, amel. / heat of face, with | HEAT, cold water, amel. / mental exertion, from | ITCHING, rubbing amel. / cheeks | ITCHING, rubbing amel. / chin | ITCHING, rubbing amel. / lips | PAIN / standing amel. | PAIN, burning, raw and smarting / amel. | PAIN, burning, urination, beginning to urinate, when / amel.","ANXIETY | ANXIETY, chill, during / fear, with | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / bed, in | ANXIETY, flatus, from (agg.) / evening | ANXIETY, flatus, from (agg.) / from a seat, on | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / sleep, before | ANXIETY, flatus, from (agg.) / standing, while | ANXIETY, flatus, from (agg.) / stool, before | CONCENTRATION active / difficult | CONCENTRATION active / interrupted, if | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / interruption, from | CONFUSION, thinking of it agg. / waking, on","[g2|MIND] ANXIETY, flatus, from (agg.) / from a seat, on | [g2|MIND] ANXIETY, flatus, from (agg.) / evening | [g2|MIND] CONCENTRATION active / interrupted, if | [g2|MIND] CONFUSION of mind (See Concentration) / interruption, from | [g2|MIND] DEATH, desires (See Loathing of Life) / menses, during | [g2|MIND] DELUSIONS, lip, lower, is swollen / longer, things seems | [g2|MIND] DELUSIONS, shoulder, thinks people are looking over his / twilight, in | [g2|MIND] FEAR (See Anxiety) / twilight | [g2|MIND] IRRITABILITY (See Anger) / menses, before | [g2|MIND] IRRITABILITY (See Anger) / after | [g2|MIND] IRRITABILITY (See Anger) / walking, when | [g2|MIND] THOUGHTS of death (See Death) / interrupted, when | [g2|MIND] UNCONSCIOUSNESS, alternating with restlessness during fever / riding, while | [g2|MIND] WEARY of life (See Ennui, Loathing, etc.) / menses, during | [g2|VERTIGO] EXERCISING, on / the arms | [g2|VERTIGO] RIGHT, swaying toward / in a circle | [g2|VERTIGO] TURNING, as if in a circle / to right | [g2|HEAD] COLDNESS, chilliness, etc. / right | [g2|HEAD] CONSTRICTION, morning (agg.) / amel. | [g2|HEAD] CONSTRICTION, morning (agg.) / stooping agg."
bi,38,1,14,HEAD(7); VERTIGO(5); THROAT(4); STOMACH(4); ABDOMEN(4); NOSE(3),"PAIN, bending head, to one side (agg.) / blindness, followed by violent headache, sight returns as headache becomes worse | PAIN, sore, bruised, occiput, motion, on (agg.) / Stitching | PAIN, warmth of bed agg. / behind ear","PAIN, paroxysmal pains / amel.","TALK, desires to, to some one / indisposed to, desire to be silent, taciturn",
bism,290,2,20,HEAD(74); STOMACH(52); MIND(44); MOUTH(22); FACE(15); THROAT(11),"ANXIETY, flatus, from (agg.) / waking, on | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Forehead | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, cutting, sleep, during (agg.) / Forehead | PAIN, cutting, sleep, during (agg.) / extending to occiput | PAIN, cutting, sleep, during (agg.) / eyes, above right | PAIN, paroxysmal pains / pressure, external, agg. | PAIN, pressing, motion, on (agg.) / motion, on | PAIN, sore, clothing agg. / stitching | PAIN, stunning, stupefying, cold agg. / pressure agg. | PAIN, temples, alternating with heat of face / pressure agg. | PAIN, temples, stooping, from (agg.) / Boring, digging, screwing | PAIN, temples, stooping, from (agg.) / Forehead","FLATUS / amel. | INDOLENCE, afternoon / amel. | IRRITABILITY (See Anger) / amel. in | NAUSEA, abdomen, on compressing / amel. | PAIN / backward amel. | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / chewing, when (See Motion) | PAIN, chewing (See Masticating) / cold water amel. | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, drawing up the limbs amel. / after | PAIN, drawing up the limbs amel. / fainting, with | PAIN, lying, on right side / amel. | PAIN, occiput, bending head backward, amel. / application amel. | PAIN, occiput, bending head backward, amel. / motion","ANGUISH | ANXIETY | ANXIETY, flatus, from (agg.) / waking, on | CHEERFUL, daytime / evening | COMPANY aversion to / desire for | COMPLAINING (See Lamenting) | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / morning | DELIRIUM | DELUSIONS, enlarged, eyes are / fancy, illusions of | DISCONTENTED, displeased, dissatisfied, etc. | DISCONTENTED, displeased, dissatisfied, etc. / everything, with | DULLNESS, sluggishness, difficulty of thinking and comprehending | DULLNESS, sluggishness, difficulty of thinking and comprehending / forenoon | DULLNESS, sluggishness, difficulty of thinking and comprehending / reading, while","[g2|MIND] ANXIETY | [g2|MIND] COMPANY aversion to / desire for | [g2|MIND] RESTLESSNESS, nervousness / bed, driving out of | [g2|HEAD] HEAVINESS, forehead, all would come out, as if / motion, on | [g2|HEAD] PAIN, weather, warm, begins with the (agg.) / Forehead, in | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / occiput | [g2|HEAD] PAIN, temples, stooping, from (agg.) / afternoon | [g2|HEAD] PAIN, temples, stooping, from (agg.) / eating, after | [g2|HEAD] PAIN, temples, stooping, from (agg.) / amel. | [g2|HEAD] PAIN, temples, stooping, from (agg.) / extending to nose | [g2|HEAD] PAIN, temples, stooping, from (agg.) / nose, above | [g2|HEAD] PAIN, boring, temples, noon / contracting | [g2|HEAD] PAIN, cutting, sleep, during (agg.) / eyes, above right | [g2|HEAD] PAIN, pressing, forehead, weight or stone, as if / upward and inward | [g2|HEAD] PAIN, pressing, forehead, eyes, over, menses, during / motion | [g2|HEAD] PAIN, tearing, occiput, sides of, moving head to left / twitching | [g2|HEAD] PAIN, tearing, occiput, sides of, moving head to left / pressure | [g2|NOSE] HEAVINESS / root | [g2|MOUTH] DISCOLORATION, tongue, brown / evening | [g2|MOUTH] SALIVA, acid (See Sour) / metallic tasting"
bitter,2,1,2,MOUTH(1); STOMACH(1),,,,
black,2,1,2,VISION(1); FACE(1),,,,
bladder,1,1,1,ABDOMEN(1),,"PAIN, stool, after, amel. / small of",,
blatta,2,1,2,HEAD(1); FACE(1),,,,
blindness,1,2,1,MIND(1),,,"BLACK and sombre, everything that is, aversion to","[g2|MIND] BLACK and sombre, everything that is, aversion to"
blood,1,1,1,NOSE(1),,,,
bloody,1,1,1,HEAD(1),,,,
bluish,1,1,1,URINE(1),,,,
bol,51,2,10,MOUTH(11); STOMACH(11); STOOL(9); ABDOMEN(8); THROAT(7); MIND(1),,"PAIN, bending double, amel. / diarrhœa, as if, would come on","SADNESS, mental depression","[g2|MOUTH] HEAT, gums / Palate | [g2|THROAT] PAIN, drawing, swallowing, when not / forenoon | [g2|THROAT] SCRAPING / afternoon | [g2|STOOL] FATTY, greasy / oily-looking fecal"
bor,914,2,20,HEAD(142); MIND(136); STOMACH(80); ABDOMEN(79); NOSE(64); FACE(63),"AGGLUTINATED / morning | AGGLUTINATED / night | AGGLUTINATION of meatus | ANXIETY, evening, bed, in (agg.) / children, in | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / after | ANXIETY, flatus, from (agg.) / down hill | ANXIETY, flatus, from (agg.) / downward | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / riding, while | ANXIETY, flatus, from (agg.) / stool, before | ANXIETY, flatus, from (agg.) / trifles, about | ANXIETY, flatus, from (agg.) / waking, on | CHOKING, clothing agg. / compelling | CONFUSION, thinking of it agg. / walking, while","CONFUSION of mind (See Concentration) / stool amel. | DULLNESS, sluggishness, difficulty of thinking and comprehending / in open air amel. | FLATUS / amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / walking in open air amel. | HEAT, cold water, amel. / diarrhœa, during | HEAT, cold water, amel. / palms | HEAT, cold water, amel. / walking, while | HEAT, cold water, amel. / writing, on | HEAVINESS, weight, oppression (See Fullness) / walking in open air amel. | PAIN, air, open, amel. / laughing, when | PAIN, air, open, amel. / of lower jaw agg. | PAIN, bending double, amel. / diarrhœa, as if, would come on | PAIN, cramping, griping, bending forward amel. / during | PAIN, drawing up the limbs amel. / fruit, after | PAIN, drawing up the limbs amel. / lifting, after","ABUSIVE | AFFECTIONATE (See Love, Indifference) | ANXIETY | ANXIETY / evening | ANXIETY / until 11 p.m. | ANXIETY, evening, bed, in (agg.) / children, in | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / after | ANXIETY, flatus, from (agg.) / down hill | ANXIETY, flatus, from (agg.) / downward | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / riding, while | ANXIETY, flatus, from (agg.) / stool, before | ANXIETY, flatus, from (agg.) / trifles, about | ANXIETY, flatus, from (agg.) / waking, on","[g2|MIND] ANXIETY / until 11 p.m. | [g2|MIND] ANXIETY, evening, bed, in (agg.) / children, in | [g2|MIND] ANXIETY, flatus, from (agg.) / downward | [g2|MIND] ANXIETY, flatus, from (agg.) / down hill | [g2|MIND] CHEERFUL, daytime / morning | [g2|MIND] CHEERFUL, daytime / stool, after | [g2|MIND] CONFUSION of mind (See Concentration) / stool amel. | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / stool, before | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / in open air amel. | [g2|MIND] EXHILARATION / coition, after | [g2|MIND] FEAR (See Anxiety) | [g2|MIND] FEAR, dawn, of the return of / downward motion, of | [g2|MIND] FEAR, dawn, of the return of / infection, of | [g2|MIND] FEAR, labor, after / sudden, of | [g2|MIND] FEAR, putrefy, body will / riding, when in a carriage | [g2|MIND] FRIGHTENED easily (See Starting) | [g2|MIND] FRIGHTENED easily (See Starting) / sneezing, at | [g2|MIND] INDOLENCE, afternoon / sleep, after | [g2|MIND] INDOLENCE, afternoon / stool, before | [g2|MIND] IRRITABILITY (See Anger) / 4 p.m."
bor-,1,1,1,HEAD(1),,,,
bor-ac,1,1,1,STOMACH(1),,"NAUSEA, abdomen, on compressing / amel.",,
boring,3,1,1,HEAD(3),"PAIN, temples, stooping, from (agg.) / Boring, digging, screwing | PAIN, temples, stooping, from (agg.) / forenoon | PAIN, temples, stooping, from (agg.) / stooping agg.",,,
both,17,2,10,MIND(3); VISION(3); EYE(2); FACE(2); STOMACH(2); VERTIGO(1),"DIM, left eye / sunlight agg.",,"APHASIA (See Speech, Mistakes, Forgetful) | FORGETFUL, mental exertion, from / words, of, while speaking | MISTAKES in calculating / wrong words, using","[g2|MIND] APHASIA (See Speech, Mistakes, Forgetful) | [g2|EYE] BLEEDING from eyes | [g2|EAR] DISCHARGES / blood | [g2|NOSE] EPISTAXIS | [g2|URINE] BLOODY"
bov,900,2,22,HEAD(253); MIND(103); ABDOMEN(92); STOMACH(64); FACE(58); EAR(42),"AGGLUTINATED / morning | AGGLUTINATED / night | AGGLUTINATION of meatus | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / headache, with | COMPANY aversion to / alone, while agg. | CONFUSION, thinking of it agg. / wine, after | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Temples | CONSTRICTION, morning (agg.) / breakfast amel. | CONSTRICTION, morning (agg.) / room, on entering | DULLNESS, sluggishness, difficulty of thinking and comprehending / standing agg. | ITCHING of scalp, wandering / warmth of bed agg. | PAIN, bending head, to one side (agg.) / after","COMPANY aversion to / amel., when alone | CONFUSION of mind (See Concentration) / amel. | CONSTRICTION, extending to bladder / stretching out amel. | CONSTRICTION, morning (agg.) / breakfast amel. | CRAWLING in (See Formication, Itching) / amel. | DISTENSION / flatus, passing, amel. | INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / amel. | ITCHING in / boring with finger, amel. | ITCHING of scalp / not amel. after | ITCHING of scalp, wandering / scratching amel. | PAIN / amel. | PAIN, bending double, amel. / amel. | PAIN, bending double, amel. / during | PAIN, bending double, amel. / during (colic) | PAIN, bending head, to one side (agg.) / amel.","ABSENT-MINDED (See Forgetful) | ABSORBED, buried in thought | ANGUISH | ANXIETY | ANXIETY / afternoon | ANXIETY / evening | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / headache, with | CHAOTIC | CHEERFUL, daytime / company, in | CHEERFUL, gay, happy (See Mirth) | COMPANY aversion to / alone, while agg. | COMPANY aversion to / amel., when alone | COMPANY aversion to / desire for","[g2|MIND] CHEERFUL, daytime / company, in | [g2|MIND] CONFUSION of mind (See Concentration) / amel. | [g2|MIND] CONFUSION of mind (See Concentration) / coition, after | [g2|MIND] CONFUSION of mind (See Concentration) / standing, while | [g2|MIND] CONFUSION of mind (See Concentration) / stooping, when | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / eating, after | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / standing agg. | [g2|MIND] EXHILARATION / morning | [g2|MIND] INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / amel. | [g2|MIND] IRRITABILITY (See Anger) | [g2|MIND] IRRITABILITY (See Anger) / takes everything in bad part | [g2|MIND] MISTAKES in calculating / syllables | [g2|MIND] MOOD, agreeable / alternating | [g2|MIND] SADNESS, morning, rising, after, amel. / amel. | [g2|MIND] STUPEFACTION / evening | [g2|VERTIGO] EMISSION, after | [g2|HEAD] CONSTRICTION, morning (agg.) / breakfast amel. | [g2|HEAD] CONSTRICTION, morning (agg.) / room, on entering | [g2|HEAD] ENLARGED sensation (See Expanded, Swollen) | [g2|HEAD] HAIR baldness / Sides"
br,7,1,7,MIND(1); EYE(1); HEARING(1); MOUTH(1); STOMACH(1); RECTUM(1),,,"DELUSIONS, images, phantoms, closing the eyes, on, in bed / frightful",
brach,85,2,17,URINE(14); FACE(9); BLADDER(9); STOMACH(8); NOSE(7); MOUTH(6),"CONSTIPATION, alternate days, agg. / ineffectual urging and straining | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, warmth, of bed agg. / ear",,,"[g2|ABDOMEN] PULSATION / morning | [g2|RECTUM] CONSTRICTION, contraction, closure, etc. / painful | [g2|BLADDER] PAIN / after | [g2|KIDNEYS] PAIN / region of | [g2|URETHRA] PAIN, burning, meatus, urination, after / urination, after | [g2|URINE] CASTS, containing / hyaline | [g2|URINE] CASTS, containing / mucous | [g2|URINE] CASTS, containing / waxy | [g2|URINE] SEDIMENT, mucous, thick, ropy, bloody mucous, great quantity of / oxalate of lime"
breakfast,1,1,1,ABDOMEN(1),,,,
